Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
6,Bing,game of thrones season 5 episode 8,game,games free,2016-05-02 08:42:22,4
9,Google,game of thrones season 5 episode 8,game o,game of thrones online,2016-05-02 08:42:22,6
9,Google,game of thrones season 5 episode 8,game of,game of thrones online,2016-05-02 08:42:23,7
9,Google,game of thrones season 5 episode 8,game of ,game of thrones online,2016-05-02 08:42:23,8
9,Google,game of thrones season 5 episode 8,game of t,game of thrones online,2016-05-02 08:42:23,9
9,Google,game of thrones season 5 episode 8,game of th,game of thrones online,2016-05-02 08:42:23,10
9,Google,game of thrones season 5 episode 8,game of thr,game of thrones online,2016-05-02 08:42:23,11
9,Google,game of thrones season 5 episode 8,game of thro,game of thrones online,2016-05-02 08:42:23,12
9,Google,game of thrones season 5 episode 8,game of thron,game of thrones online,2016-05-02 08:42:23,13
9,Google,game of thrones season 5 episode 8,game of throne,game of thrones online,2016-05-02 08:42:24,14
9,Google,game of thrones season 5 episode 8,game of thrones,game of thrones online,2016-05-02 08:42:24,15
4,Google,game of thrones season 5 episode 8,game of thrones s,game of thrones season 6 episode 2 online,2016-05-02 08:42:24,17
4,Google,game of thrones season 5 episode 8,game of thrones se,game of thrones season 6 episode 2 online,2016-05-02 08:42:25,18
4,Google,game of thrones season 5 episode 8,game of thrones sea,game of thrones season 6 episode 2 online,2016-05-02 08:42:25,19
4,Google,game of thrones season 5 episode 8,game of thrones seas,game of thrones season 6 episode 2 online,2016-05-02 08:42:25,20
4,Google,game of thrones season 5 episode 8,game of thrones seaso,game of thrones season 6 episode 2 online,2016-05-02 08:42:25,21
4,Google,game of thrones season 5 episode 8,game of thrones season,game of thrones season 6 episode 2 online,2016-05-02 08:42:25,22
4,Google,game of thrones season 5 episode 8,game of thrones season ,game of thrones season 6 episode 2 online,2016-05-02 08:42:25,23
5,Google,game of thrones season 5 episode 8,game of thrones season 5,game of thrones season 5 episode 6 watch online,2016-05-02 08:42:26,24
8,Bing,game of thrones season 5 episode 8,game of thrones season 5,game of thrones season 5 torrent,2016-05-02 08:42:26,24
4,Google,game of thrones season 5 episode 8,game of thrones season 5 ,game of thrones season 5 episode 6 watch online,2016-05-02 08:42:26,25
7,Bing,game of thrones season 5 episode 8,game of thrones season 5 ,game of thrones season 5 torrent,2016-05-02 08:42:26,25
10,Bing,game of thrones season 5 episode 8,game of thrones season 5 ,game of thrones season 5 putlocker,2016-05-02 08:42:26,25
8,Google,game of thrones season 5 episode 8,game of thrones season 5 e,game of thrones season 5 episode 6 watch online,2016-05-02 08:42:26,26
8,Google,game of thrones season 5 episode 8,game of thrones season 5 ep,game of thrones season 5 episode 6 watch online,2016-05-02 08:42:26,27
8,Google,game of thrones season 5 episode 8,game of thrones season 5 epi,game of thrones season 5 episode 6 watch online,2016-05-02 08:42:26,28
8,Google,game of thrones season 5 episode 8,game of thrones season 5 epis,game of thrones season 5 episode 6 watch online,2016-05-02 08:42:26,29
8,Google,game of thrones season 5 episode 8,game of thrones season 5 episo,game of thrones season 5 episode 6 watch online,2016-05-02 08:42:27,30
8,Google,game of thrones season 5 episode 8,game of thrones season 5 episod,game of thrones season 5 episode 6 watch online,2016-05-02 08:42:27,31
8,Google,game of thrones season 5 episode 8,game of thrones season 5 episode,game of thrones season 5 episode 6 watch online,2016-05-02 08:42:27,32
8,Google,game of thrones season 5 episode 8,game of thrones season 5 episode ,game of thrones season 5 episode 6 watch online,2016-05-02 08:42:27,33
